question,answer_text,answer_aliases
A member of which profession would reside in a manse,Clergyman,"lead religious assembly|clergy man|history of priesthood|priest hoods|clerically|clergially|spiritual leader|clergial|eccleasiastic|churchmen|person ecclesiastical|clergywomen|clergy men|estate of swedish clergy|fmr father|clerics|preferment church|church man|clergymen|church men|religious leader|cleric|ecclesiast|ecclesiastical person|priest hood|regular clergy|clergyman|clergically|clergical|clergy|clergies|religieux|priesthoods|Lead a religious assembly|History of the Priesthood|The clergy|Person, Ecclesiastical|Preferment (Church)|(Fmr.) Father"
With what country did the United States re-establish diplomatic relations in 2015?,Republic of Cuba,cuba|people s republic of cuba|administrative divisions of cuba|cuban news agency|iso 3166 1 cu|etymology of cuba|isla juana|communist cuba|second republic of cuba|republic of cuba|república de cuba|cuba island|republica de cuba|prehistory of cuba|red cuba|name of cuba|subdivisions of cuba|People's Republic of Cuba|The Republic of Cuba|ISO 3166-1:CU|Cuba (island)
'Spring' and 'Rhenish' are the popular names given to symphonies by which composer?,"Schumann, Robert Alexander","ballets to music of robert schumann|robert alexander schumann|schumann robert alexander|robert schumann|Schumann, Robert Alexander|Ballets to the music of Robert Schumann"
"In which arcade game, would you find ghosts called Inky, Pinky, Blinky and Clyde?",Pakman,"pac man magnetic maze|google pacman|blinky pinky inky clyde|split screen level|google pac man|pac man|pac man ghosts|pakman|aosuke|puckman|akabei|clyde ghost|pinky ghost|macman kid|pac dots|pac mn|pacman|clyde monster|パックマン|puc man|blinky ghost|blinky monster|pac man card game|puck man|pac man film|inky ghost|paku paku|cdman|guzuta|pac man board game|pakkuman|Pac-man|Pac-mn|Blinky, Pinky, Inky, Clyde|Pac-Man (card game)|Puck-Man|Google Pac-Man|Puc-Man|Clyde (monster)|Pac-Man (film)|Inky (ghost)|Pac-man (board game)|Blinky (ghost)|Pac-man ghosts|Split-Screen Level|Clyde (ghost)|Blinky (monster)|Pinky (ghost)"
The most southerly part of mainland Australia is in which state?,CIVI-TV,22a 22 victoria|civi dt|ctv vancouver island|civi tv|civi dt 2|channel victoria|new vi|ctv two vancouver island|vancouver island|civi|22a 22 vancouver island|22a 22 vancouver|channel vancouver island|victoria|vancouver|ctv two victoria|CIVI-TV|A Victoria|A-Channel Vancouver Island|A-Victoria|A-Channel Victoria|CIVI-DT-2|A Vancouver Island|'A' Vancouver|%22A%22 Vancouver|%22A%22 Vancouver Island|'A' Vancouver Island|CIVI-DT|The New VI|'A' Victoria|%22A%22 Victoria
"What seven letter word, beginning with the letters 'Ra' is a palindrome?",Racing cars,race driver|autorace|automobile racing|automobile race|race car driver|autosports|racecar driver|autoracing|auto racing|racecars|race cars|racing car|automobile racer|auto race|car racing|racing driver|🏎|car race|race car|racing cars|racecar|automotive racing|Race-car
Who memorably failed to win the Marathon in the 1954 Commonwealth Games?,Jim Peters,"peters james|jimmy peters|james peters|jim peters hockey|james peters disambiguation|jim peters|Jim Peters (hockey)|James Peters (disambiguation)|Peters, James"
Breugel; Van Dyck and Rubens were all citizens of which country?,Belguim,cockpit of europe|koninkrijk belgie|königreich belgien|belgië|begium|konigreich belgien|belgie|quebec of europe|belgio|iso 3166 1 be|administrative divisions of belgium|belgium facts|koninkrijk belgië|belgique|belgium|beljam|kingdom of belgians|blegium|belguim|belgium belgie|belgian|belgum|beldjike|royaume de belgique|beligum|belgien|people of belgium|kingdom of belgium|koenigreich belgien|beljum|Belgium/Belgie|Kingdom of the Belgians|ISO 3166-1:BE|The Quebec of Europe|Belgium/facts
Which 1968 album released by George Harrison is notable for being the first official solo album by one of The Beatles?,Wonderwall Music,dream scene song|tabla and pakavaj|wonderwall to be here|on bed|red lady too|wonderwall soundtrack|in park song|glass box song|singing om|ski ing|party seacombe|fantasy sequins|in first place|cowboy music song|crying george harrison song|crying wonderwall music song|guru vandana song|greasy legs|microbes song|drilling home|wonderwall music|love scene song|gat kirwani|Love Scene (song)|Dream Scene (song)|Guru Vandana (song)|In the Park (song)|On the Bed|Crying (George Harrison song)|Drilling a Home|Crying (Wonderwall Music song)|Wonderwall (soundtrack)|In the First Place|Glass Box (song)|Cowboy Music (song)|Ski-ing|Microbes (song)
What was Warren Beatty's first movie?,Splendor in the Grass,splendor in grass|Splendor in the Grass
"What company encourages you to ""Think Outside the Bun""?",Taco Bell Corporation,taco bel|taco bell|taco bell corporation|cheesy beefy melt|taco hut|taco bell express|taco bell home originals|taco hell|frutista freeze|tacobellenespanol com|fourthmeal|history of taco bell|toxic hell|crunchwrap supreme|bean burrito especial taco bell|taco bell menu|think outside bun|meximelt|tacobell|taco bell in uk|tacobell com|panadero bread|its all about roosevelts|it s all about roosevelts|warm pillowy flatbread|taco bell india|Its all about the roosevelts|Bean Burrito Especial- Taco Bell|Taco Bell in the UK|Think outside the bun|It's all about the Roosevelts|Tacobellenespanol.com|Tacobell.com
How many avenues radiate from the Arc de Triomphe?,twelve,twelve|12
"The longest running television series ever, November 6, 1947 saw the debut of what now weekly news program, now hosted by David Gregory, following the unfortunante sudden death of host Tim Russert?",Meet the Press with David Gregory,mtp daily|meet press|meet press with tim russert|meet press with david gregory|meet depressed|Meet the Press with David Gregory|Meet the Press with Tim Russert|Meet the Press|Meet the Depressed
"Indians used wampum for money, what was wampum",Beads or shells,beads or shells
"In Jeff Wayne's 'Musical Version of Spartacus' released in 1992, which later Oscar-winning British actress sings the principal female role of Palene?",Catherine ζ-Jones,zeta jones|catherine zeta jones|catherine zeta jones filmography|cat zeta|katherine zeta jones|catherine z jones|catherine zeta|catherine ζ jones|catherian zeta jones|milkwood films|Catherine ζ-Jones|Catherine Zeta-Jones|Zeta-Jones|Katherine Zeta-Jones|Catherine Zeta-Jones filmography|Catherine z-Jones
What celestial object was visited by the New Horizons spacecraft in 2015?,134340 Pluto.,sol j|134340 pluto|pluto debate|1930 bd|plutoing|♇|pluto|astronomy pluto|sun j|asteroid 134340|pluto astronomy|pluto dwarf planet|134340|pluto planetary status controversy|pluto planet day|dwarf planet pluto|physical characteristics of pluto|pluto system|pluto planetoid|134340pluto|pluto planet|pluton planet|134340 pluto dwarf planet|sol 9|planet pluto|classification of pluto|134340 Pluto.|(134340) Pluto|Pluto (Planet)|The Pluto debate|Pluto (astronomy)|Sol-9|134340 Pluto (dwarf planet)|Pluto (dwarf planet)|Pluton (planet)|Pluto (planetoid)
"What 1945 film won best picture, actor, director Oscars?",The Lost Weekend,lost weekend disambiguation|lost weekend|The Lost Weekend|The Lost Weekend (disambiguation)
"With 47 attacks in the year 2010 alone, what body of water is known as Pirate Alley?",Gulf of Aden,"aden gulf of|khalīj adan|pirate alley|gulf of aden|gulf of berbera|خليج عدن|gacanka cadmeed|Aden, Gulf of|Khalīj 'Adan"
What is the state capital of Alabama,Montgomerie,montgomery|montgomery disambiguation|montgomerie|Montgomery (disambiguation)
English sportswoman Charlotte Edwards is associated with which sport?,Cricket games,amature cricket|spirit of cricket|cricketers|scorecard cricket|cricket player|coin toss cricket|cricket|cricket sport|kricket|cricketed|cricketplayer|cricket clubs|amateur cricket|cricketeer|world richest cricketers|criket|cricket as social event|not in spirit of cricket|cricketing|sports cricket|cricket club|cricketer|🏏|wicketkeeping|cricket games|creag|sport cricket|cricket game|toss|cricket team|Coin toss (cricket)|Scorecard (cricket)|Cricket (sport)|The toss|Cricket as a social event|Not in the spirit of cricket|Cricket (game)
Which French racecourse hosts the 'Prix de l'Arc de Triomphe?,Longchamps,longchamps|longchamp disambiguation|longchamp|Longchamp (disambiguation)
Which doctor - an eternal optimist – features in Voltaire’s Candide?,Dr Pangloss,"doctor pangloss|martin candide|candide play|panglossian pessimism|candide protagonist|l optimisme|candide ou l optimisme|candide novel|candide character|candide or optimism|professor pangloss|pan gloss|dr pangloss|pour encourager les autres|candide|cacambo|all is for best in this best of all possible worlds|L'Optimisme|Dr. Pangloss|Candide (character)|Candide, or Optimism|Candide Ou L'Optimisme|Candide (play)|Candide (novel)|Candide, Ou L'Optimisme|Martin (Candide)|All is for the best in this best of all possible worlds|Candide (protagonist)"
Which journalist first told the world about the My Lai massacre?,Seymour Hersch,"dark side of camelot|seymour sy myron hersh|chain of command book|seymour hersch|seymour m hersh|seymour hersh|sy hersh|hersh seymour m|chain of command road from 9 11 to abu ghraib|seymour hirsch|The Dark Side of Camelot|Seymour M. Hersh|Chain of Command: The Road from 9/11 to Abu Ghraib|Hersh, Seymour M.|Chain of Command (book)|Seymour (Sy) Myron Hersh"
What are the last six words of Rudyard Kipling’s ‘If’?,"YOU’LL BE A MAN, MY SON","you ll be man my son|YOU’LL BE A MAN, MY SON"
What was the name of the Liverpool nightclub where the Beatles regularly played?,Cavern club,alan sytner|cavern|cavern club|The Cavern|The Cavern Club
What are the topmost 7 vertebrae of the backbone called?,Cervical,cervical disambiguation|cervical region|cervical|Cervical (disambiguation)
What is the name of the vessel in Paul Gallico's 1969 adventure novel that has been adapted as a film four times?,Earth Shaker,"poiseidon|god of seas|posidon|posedian|enosichthon|posseidon|poseidone|poseidons love for demeter|neptune roman religion and mythology|poseidon sea king|earth shaker|posiden|clieto|aegaeus|greek god of earthquakes|neptune equester|poseidon mythology|posiedon|poseidon facts|poseidon enosichthon|poseidon|mythology neptune|God Of The Seas|Poseidon, The Sea King|Neptune (Roman religion and mythology)|Poseidon (mythology)"
On which coast of South America would you find the country of Venezuela?,Northward,northward|north
What is the more common name for the white crystalline salt called hydrated sodium pyroborate?,Na2b4o7,atcvet code qs01ax07|sodium borate|disodium tetraborate|na2b4o7|sodium boric acid|borax|🝂|🝃|tincal|🝄|sodium tetraborate decahydrate|sodium pyroborate|sodium tetraborate|e285|atc code s01ax07|na2b4o7·10h2o
Which element takes its name from the Persian for 'gold coloured'?,Zirconium salts,element 40|zr|zircronium|zirconium salts|zirconium|zirconium salt
A Varsovian is a native of which capital city,Warwaw,"varsovie|varshava|capital of poland|warszawa poland|warwaw|warschau|city of warsaw|varshe|varšuva|warszowa|waršawa|warszawianka courts|boroughs of warsaw|wa wa|warsaw invasion|warsaw poland|warszewa|un locode plwaw|warszawa|warsawa|warshaw|varsovian|warsaw|warsaw city poland|plwaw|Warsaw (Poland)|Warsaw City, Poland|Wa-wa|Warsaw, Poland|UN/LOCODE:PLWAW|Warszawa, Poland"
What name besides glove is given commonly to a baseball player's handwear?,Mitt,mitt disambiguation|mitt|Mitt (disambiguation)
"What American animal is commonly called an antelope, but is not actually an antelope?",Pronghorns,prong horn antelope|antilocapra americana|pronghorn antelope|pronghorn|antilocapra anteflexa|pronghorns|prong buck|pronghorn sheep|antilocapra|american antelope
Scrying commonly entails the use of a?,Crystal ball,crystal ball|shew stone|show stone|crystal balls|🔮
What is the last name name of the doctor who first described a certain disease in An Essay on the Shaking Palsy written in 1817?,Dr. (James) Parkinson,dr james parkinson|Dr. (James) Parkinson
"Two all beef patties, special sauce, lettuce, cheese, pickles, onions on a sesame seed bun describes what?",Big Mac Sauce,"maharaja mac|two all beef patties special sauce lettuce cheese pickles onions on sesame seed bun|big mac sauce|baby mac|monster mac|gotbot com|big mac® sauce|big mac r sauce|macsauce|big macs|bigmac|big mac slogan|special sauce|twoallbeefpattiesspecialsaucelettucecheesepicklesonionsonasesameseedbun|big mac|mega mac|special sauce mcdonald s|gofbot com|Two all-beef patties, special sauce, lettuce, cheese, pickles, onions on a sesame seed bun|Two all beef patties, special sauce, lettuce, cheese, pickles, onions, on a sesame seed bun|Two all beef patties, special sauce, lettuce, cheese, pickles, onions on a sesame seed bun|A Big Mac|Two all beef patties, special sauce, lettuce, cheese, pickles, onions on a sesame seed bun.|Two all beef patties special sauce lettuce cheese pickles onions on a sesame seed bun|Special sauce (McDonald's)|Gotbot.com|Gofbot.com|Big Mac(r) Sauce|Two all beef patties, special sauce, lettuce, cheese, pickles, onions, on a sesame seed bun."
Who was the first person after Scott to reach the South Pole overland?,Sir Edmund Hillary,sir edmund|edmond hillary|sir edmund hillary|edmund hillary|sir edmund percival hillary|edmund hilary|sir ed|ed hillary|sir edmund hilary|edmund percival hillary
What type of aircraft was used by Alcock and Brown when they became the first men to fly the Atlantic non stop?,Vickers Vimy Commercial,vickers commercial|vickers vimy commercial|vickers vimy|vickers fb 27 vimy|vickers vimy ambulance|vickers f b 27 vimy|n f express les mureaux|A.N.F. 'Express Les Mureaux'|Vickers FB.27 Vimy|Vickers F.B.27 Vimy
Which is the first written single word number in which the letter ‘A’ appears?,Thousand,one thousand|thousand|1000
What was the name of Shari Lewis' sassy sock puppet?,Lamb Chop,lamb chop|lambchop|lamb chop disambiguation|lamb chops|Lamb Chop.|Lamb chop (disambiguation)
What is the fastest animal on two legs?,Ostrich farms,ostriches|ostrish|ostrich racing|ostrich race|ostritch|ostrich egg|ostrich|osterish|ostridge|struthio camelus|ostrich farming|ostrich farmer|ostrage|ostrich farms|struthious|masai ostrich|ostrich meat|ostrich farm|common ostrich|osterich|An Ostrich
Whose horse was Black Nell?,Wild Bill Hickok's,wild bill hickok s|Wild Bill Hickok's
On what body of water did Jesus supposedly walk?,Sea of Genezareth,lake kinneret|lake of gennesaret|lake tiberius|sea of tiberias|kinnaret|sea of gallilee|sea of kinnereth|sea of galilee|lake of galilee|genesareth|sea of genezareth|kinaret|lake tiberias|lake galilee|yam kinneret|kinnereth|lake of tiberias|sea of chinneroth|khinnereth|lake of genesareth|sea of gennesaret|lake of tabariyyah|kinnareth|sea of chinnereth|lake of gennesar
"What is the title of Tony Blair's autobiography/memoir published in 2010, which covered events from 1994 to his resignation as Prime Minister?",A Journey,journey|A Journey
What was Julian Schnabel's acclaimed 2008 film of the book written by a stroke victim's blinking eye?,The Diving-Bell and the Butterfly,le scaphandre et le papillon|diving bell and butterfly|The Diving-Bell and the Butterfly|The diving bell and the butterfly|Diving bell and the butterfly
Which king’s beloved son William was drowned in the tragedy of the White Ship?,Enrique I,enrico i|hendrik i|henry first|henry i disambiguation|henri i|henry i|henry 1|enrique i|henry 1st|king henry i|Henry the 1st|Henry the First|Henry I (disambiguation)
"What was the 42nd state to join the Union on Nov 11, 1889?",Washington (Amtrak station),"washington amtrak station|washington cta disambiguation|washington usa|washington cta|washington disambiguation|washington united states disambiguation|washington college disambiguation|washington|washington united states|washington university disambiguation|washington u s|Washington (Amtrak station)|Washington College (disambiguation)|Washington, United States|Washington, USA|Washington University (disambiguation)|Washington (CTA)|Washington (CTA) (disambiguation)|Washington, United States (disambiguation)|Washington, U.S.|Washington (disambiguation)"
A Suffolk Punch is what kind of animal?,Horse,horſe|equus caballus|domestic horse|equus caballus belgius|equus caballus celticus|equine studies|equine quadruped|equus caballus domesticus|equus caballus europaeus|equus caballus robustus|equus caballus brittanicus|equines|equine quadraped|horsies|equus caballus aryanus|equus caballus libycus|equus caballus hibernicus|equus laurentius|equus caballus sylvestris|🐴|equus caballus gracilis|equus caballus nordicus|equus caballus nehringi|equus caballus africanus|nag horse|equus cabalus|equus caballus asiaticus|equus caballus cracoviensis|domesticated horse|🐎|equus caballus ewarti|horsie|equus caballus varius|equus ferus caballus|hot blooded horse|equus caballus parvus|cold blooded horse|equus caballus gallicus|horse|horses|equus caballus typicus|Hot blooded (horse)|Nag (horse)|Cold blooded (horse)
A rabbit punch is a blow to what part of the body?,Necke,neck|human neck|necke|collum anatomy|nuchal|Collum (anatomy)
"Which American wit said, 'This is not a novel to be tossed aside lightly. It should be thrown with great force'?",Constant Reader,algonquin wit|dot parker|dorothy parker|dorothy rothschild|dottie parker|dorothy rothschild parker|sunset gun|constant reader
What was the first Beatles film?,A hard day's night,hard days night|hard day s night disambiguation|hard day s night|A hard day's night|Hard Day's Night|A Hard Day's Night (disambiguation)|A hard days night|A Hard Day’s Night
Films. Which Dominic starred as Merry (Meriadoc) in ‘The Lord of the Rings’?,Monaghan Urban Council,"monaghan|old cross monaghan|monaghan town|monaghan county monaghan|monaghan urban council|monghan|muineachán|rossmore memorial monaghan|Monaghan, County Monaghan|Rossmore Memorial, Monaghan|Old Cross, Monaghan"
Which celebrity first found fame as the Joan Collins Fan Club,Joan Collins Fanclub,joan collins fanclub|joan collins fan club|julian clary|The Joan Collins Fanclub
Which Japanese island that has its capital at Sapporo is the traditional home of the Ainu people?,Hokkaidou prefecture,"mosir|jesso|jp 01|hokkaidô prefecture|bilk drink|hokkaido japan|beihaidao|hokkaidō|hokkaidō japan|北海道|hokkai do|bilkalberta|hokkaidoo|hokkai|hokkaido|hokkaidô|hokkaidou|hokkaidoo prefecture|hokkaidou prefecture|hokkaidō region|hokkaido region|hokkaidō prefecture|hokkaido prefecture|hokkaidoh|hokkaido island|hokaido|ezochi|hokkaidô japan|hokkaidoo region|hokkaidoh prefecture|JP-01|Hokkaidō, Japan|Hokkaidô, Japan|Hokkaido, Japan|Hokkai-do|Bilk (drink)|Hokkaido (Japan)"
In which US city do the Baseball team known as the 'Royals' play their home games?,Kansas City Metro,"kansas city metro|kansas city overland park kansas city mo ks combined statistical area|kansas city overland park kansas city mo ks csa|kansas city mo ks msa|kansas city missouri metropolitan area|kansas city metro area|greater kansas city|kansas city usa|kansas city|kc metropolitan area|kansas city mo ks metropolitan statistical area|kansas city metropolitan area|k c metropolitan area|metropolitan kansas city|Kansas City, Missouri metropolitan area|Kansas City-Overland Park-Kansas City, MO-KS CSA|Kansas City-Overland Park-Kansas City, MO-KS Combined Statistical Area|K.C. Metropolitan Area|Kansas City, MO-KS MSA|Kansas City, MO-KS Metropolitan Statistical Area|Kansas City, USA"
"""What medical board game features body parts such as """"Charley Horse"""" and """"Spare Ribs""""?""",Operations,operation|operating|operation disambiguation|operations|Operation (disambiguation)
What term refers to a triangle with two equal sides?,Isosceles triangle,isosceles|isoceles triangle|isoceles|isosceles triange|isosceles triangle
Who was the leader of France’s Vichy Government during World War II?,Henri Phillippe Pétain,henri philippe pétain|henri phillippe petain|philipe pétain|marechal petain|henri petain|marshal henri philippe petain|phillippe pétain|phillippe petain|phillipp petain|phillipe petain|pétain|general pétain|henri pétain|marshall pétain|philippe benoni omer joseph pétain|henri philippe benoni omer joseph petain|philipp pétain|philippe pétain|maréchal pétain|marshal petain|henri philippe petain|marshall petain|pétainisme|marshal philippe petain|petainist|philippe benoni omer joseph petain|philipp petain|phillipe pétain|philipe petain|marshal henri petain|marshal pétain|petainisme|henri philippe benoni omer joseph pétain|philip petain|philip pétain|phillipp pétain|henri phillippe pétain|phillip petain|philippe petain|petain|phillip pétain|general petain|Henri-Philippe Petain|Henri-Philippe Pétain
If I Were A Rich Man Was a big hit from which stage show?,Fiddler on a Roof,fiddler on roof|sprintze|anatevka|2 life|fiddler on reoof|Fiddler on a Roof|Fiddler on the roof|The Fiddler on the Roof|Fiddler on the reoof
"Luzon, Visayas and Mindanao form the three major island groups of which country?",Islas Filipinas,etymology of philippines|philippinan|philippines colonial history|legazpi boulevard|pilipinas|republic of philippines|pinas country|islas de filipinas|philippine archipelago|filipino republic|islas filipinas|philiphines|fillipines|phillipine|phillipines|las islas filipinas|phillipenes|philipine|philippines republic|lu sung|philippine republic|republic of pilipinas|phillippenes|regional population of philippines|republika ng pilipinas|philippenes|phillippine|filippines|fillippines|philipines|department of health center for health development|phillippines|iso 3166 1 ph|filipines|philippine|philippines|philippine islands|philippines archipelago|The Republic of the Philippines|Pinas (country)|ISO 3166-1:PH|Regional population of the Philippines|The Philipines|Republic of the Philippines|The Phillipines|The Phillippines|Etymology of the Philippines|The Philippines|Department of Health-Center for Health Development
"First debuting in the cartoon Mickey's Review, what classic turtle neck wearing cartoon character had the original name of Dippy Dog?",Goofy holler,super goofy|max goofy|goofy|goofy holler|gawrsh|goofey|george geef|goofy yell|super goof|goofy jr|hyuck|list of donald duck goofy cartoons|ah hyuck|dippy dawg|goofy sr|list of goofy cartoons|goofy goof|goofy filmography|Gawrsh!|Goofy Jr.|Ah-Hyuck|A-Hyuck|Goofy Sr.|List of Donald Duck & Goofy Cartoons
"What is prussic acid, found in bitter almonds and laurel leaves, also known as?",Formic anammonide,hydrocyanic acid|carbon hydride nitride|formonitrile|cyanide gas|hydrogen cyanide gas|prussic acid|hydrocyanide|cyanane|formic anammonide|methanenitrile|mw6825000|hydrodyanic acid|h c≡n|hydridonitridocarbon|74908|hydrogen cyanide|74 90 8|cyclon|hydrocyan|bleiby process|74-90-8|H-C≡N
Which UK band had 2 top ten singles in the same week in 2001?,Manic Street Preachers,flicker musician|jenny watkins isnardi|i know i believe in nothing but it is my nothing|70 songs of hatred and failure|manics|manic street preachers|The Manics|Jenny Watkins-Isnardi|Flicker (musician)|The Manic Street Preachers
"The first US space station was launched on May 14, 1973. What was it called?",Skylab One,skylab program|sky lab|skylab|skylab i|project skylab|skylab 5|skylab 1|skylab one|Skylab A
Which P is the correct technical term for the art of making and displaying fireworks?,Pyrotecnics,flash pot|pytrotechny|pyrotechnical|pyrotechnic|pyrotecnics|pyro technic|puff pot|pyrotechnics|pyrotechnic device
What is the more common name for atmospheric vapour frozen in a crystalline form,Snowflake structure,🌨|snow cover|snowing|snow|snow showers|snow water equivalent|wet snow|flother|snows|snow water equivalency|snow shower|snow depth|snow broth|snowed|snowflake structure|snowbroth|packing snow|snow event|sneaux|snowfall|snow crystal|Snow-water equivalent|Snow-broth
"In the 2005 Julian Barnes novel ‘Arthur and George’, who is Arthur?",A Conan Doyle,"arthur c doyle|doyle arthur conan|arthur ignatius conan doyle|arthur conan doyle s|arthur conan doyle|doylean|sir arthur conan doyle|sir arthur doyle|sir conan doyle|conan doyle|doyle sir arthur conan|arthur conan ignatius sir doyle|arthur conan ignatius doyle|sir arthur ignatius conan doyle|conan doyle sir arthur|A Conan Doyle|Arthur Conan-Doyle|Arthur Conan Ignatius, Sir Doyle|Doyle, Arthur Conan|Doyle, Sir Arthur Conan|Arthur C. Doyle|Arthur Conan Doyle's|Conan Doyle, Sir Arthur|A. Conan Doyle"
Which organization of the Catholic church whose name is Latin for 'Work of God' received world attention with the publication of The Da Vinci Code in which it is portrayed as participating in a sinister international conspiracy?,The Prelature of the Holy Cross and Opus Dei,odan|personal prelature of opus dei|opus dei allegations of being cult|opus dei awareness network|opus dei|opus dei sources of controversies|prelature of holy cross and opus dei|personal prelature of holy cross and opus dei|The Prelature of the Holy Cross and Opus Dei|Personal Prelature of the Holy Cross and Opus Dei|Opus Dei: Sources of controversies|Opus Dei: Allegations of being a cult|Prelature of the Holy Cross and Opus Dei
Fado is a type of music from which country?,Portogało,portugul|portugallu|portugalska|pòtigal|portugaul|portugalujo|portuguese republic|iso 3166 1 pt|republic of portugal|portugalsko|portugual|bồ đào nha|portugall|portûnga|bo dao nha|phortaingeil|portugale|portugal|portugál|portugalėjė|portiwgal|phu to ga|portugalija|portugalio|portogallo|phû tô gâ|portegal|república portuguesa|portugāle|phortaingéil|yn phortiugal|portogało|portuga|portugaleje|portekiz|o papagaio|portunga|potigal|portekîz|pertual|portogalo|portugali|portyngal|republica portuguesa|portingale|portúgal|portgual|potiti|ISO 3166-1:PT|Phu-to-ga|An Phortaingéil|Phû-tô-gâ|An Phortaingeil
What is the capital of Algeria,"Algiers, AL","algerine|al jazāʾir|etymology of algiers|al jazair|dzair|al jazā ir|algiers al|al jaza ir|algiers|el behdja|el djazair|el jezair|al jazaʾir|el djazzair|argier|algiers algeria|algérois|alger la blanche|algeirs|algeri|capital of algeria|Algiers, AL|Algiers, Algeria|Al-Jaza'ir|El-Djazzair|El-Jezair|Al Jaza'ir|Al-Jazair|Al-Jazāʾir|El-Behdja|Al-Jazā'ir|Al-Jazaʾir"
"In weaving, what are the threads running parallel to the length of the cloth called?",Warping,warp disambiguation|warp|warpdrive|warped disambiguation|spacewarp|warp drive disambiguation|warping|Warp (disambiguation)|Warped (disambiguation)|Warp drive (disambiguation)
"In the human body, what is the common name for the 'Talus bone'?",Ancle,articulatio talocruralis|ankles|talocrural articulation|ankle joint|mortise view|ancle|ankle|tibiotalar joint|talocrural joint|talocrural|ankle examination|Ankle-joint
Can you connect Darwin and his research on Galapagos Islands to the book To Kill a Mockingbird?,Fringillidae,"carduelidae|finch|carduelini|finches|fringillidae|true finch|finch bird|""""""Finch""""""|Finch (bird)"
"""Who said, To err is human but it feels divine?""""""",Mae West,"mae west filmography|is that gun in your pocket or are you just happy to see me 3f|mae west|when i m bad i m better|when i m good i m very good|jane mast|Is that a gun in your pocket, or are you just happy to see me%3F|When I'm Bad, I'm Better|When I'm good, I'm very good..."
An isohel is a line on a map connecting two points which have the same duration of what?,Solar Irradiation,sunshine|sun shiny|solar radiation|total solar irradiance|sunlight|sun light|sun shine|solar spectrum|sun s radiation|solar output|sunshiny|sun radiation|sunlit|uses of sunlight|solar irradiation|natural lighting|Sun's radiation
What was placed in Earth’s orbit by Discovery in 1990?,Hubble Space telescope,hubble telescope|telescopio espacial hubble|hubbel space telescope|hubble space telescope servicing mission 2|starry eyed hubble|hubble|space telescope operations control center|hubble space telscope|telescópio espacial hubble|hst telescope|hubble space telescope servicing mission 1|1990 037b|hubble space telescope|hubble spacecraft|hubblecast|hubble space telescope hst|1990-037B|The hubble|Hubble Space Telescope (HST)|Hubble (spacecraft)|Starry-Eyed Hubble|HST(telescope)|The Hubble Telescope
"Vijay Singh, a US Masters champion, comes from where?",Fiji Islands,fidji|feejee|etymology of fiji|fijis|tourism in fiji|fidji islands|chikoba|pacific fiji|fiji islander|republic of fiji islands|cannibal isles|matanitu tugalala o viti|fiji|name of fiji|holidays in fiji|ripablik ăph phījī|fiji island|sovereign democratic republic of fiji|matanitu ko viti|fiji islands|fiji archipelago|iso 3166 1 fj|fiji s|republic of fiji|fijian islands|Pacific/Fiji|ISO 3166-1:FJ|Fiji's|Republic of the Fiji Islands
What are the only two types of mammal that can lay eggs?,Platamapus,"beaver duck|duckbilled platypus|duck billed playtupus|platypuses|platamapus|ornithorhyncus anatinus|platypus|ornithorhyncus|platipus|duck fox|marsupial duckbill|platypodes|duck mole|ornithorhyncus paradoxus|mallangong|duckbill platypus|duck billed platapus|duckmole|duck billed platypus|platapus|platypi|plata ma pus|platipous|palatipuses|ornithorhynchus|monotremes oviparous ovum meroblastic|ornithorhynchus anatinus|Duck-Mole|Duck-billed Platypus|Duck-Fox|Monotremes oviparous, ovum meroblastic|Plata-ma-pus"
What is animelles the culinary term for,Testical cyst,testical cyst|testicals|balls slang|testicular diseases|testicular hormones|teste|testicle|testicular disorder|testical|orchitic|testes|testis|testicle size|testicular size|testicular|testicles|low hangers|Balls (slang)
"In the human body, what seven letter word describes the loss of the sense of smell ?",Anosmia,anosmia|anosmesia|impaired smell|lack of smell|weak smell|olfaction disorders|loss of smell|smell loss|anosmic
In which ‘business’ did John Davidson Rockefeller make his fortune?,Oil (disambiguation),oil disambiguation|oil|Oil (disambiguation)
"""What has been described as the """"fifth"""" taste, after sweet, sour, bitter, and salty?""",Savory taste,savoryness|meaty taste|umani|malinamnam|umami taste|savouriness|umami|savour|umame|gamchilmat|osmazome|linamnam|savory taste|xian wei
"In Greek mythology, who stole fire from the gods and gave it to the human race?",Trick at mecone,prometheo|caucasian eagle|προμηθεύς|prometheus greek mythology|prometheos|prometheas|prometeus|promethius|prometheus|trick at mecone|Prometheus (Greek mythology)
Which metal is added to steel to produce stainless steel?,Chromium compounds,chromium iii|element 24|chronium|dichromium|chromium compounds|chromium|chromium element|cromium|Chromium(III)|Chromium (element)
What colour/color is Mr Bump in Hargreaves' Mr Men series of children's cartoon books?,Blue,"bluish|blae|blue|blue colour|blueishly|bluishness|bluer|caspian blue|blueishness|orphan blue|light blue|blue in human culture|bluest|blueness|0 0 255|rgb 0 0 255|bluishly|slate blue color|list of terms associated with color blue|police car blue|blue color|dark blue color|pale blue|Rgb(0, 0, 255)|Slate Blue (color)|Dark Blue (color)|Blue (color)|Blue (Colour)|List of terms associated with the color blue|Light-blue|(0, 0, 255)"
