question,correct_answer,model_a,model_b,swapped,first_model,first_answer,second_model,second_answer,first_length_words,second_length_words
Which was the first commercial jet airliner to go into service in the UK?,Cometary nuclei,allam,qwen,True,qwen,De Havilland Comet,allam,De Havilland Comet,3,3
Which was the first commercial jet airliner to go into service in the UK?,Cometary nuclei,llama,qwen,True,qwen,De Havilland Comet,llama,de Havilland Comet.,3,3
"Who was the leader of the gang whose members included Benny the Ball ,Brain and Choo Choo?",Brain (Top Cat character,allam,llama,True,llama,Top Cat.,allam,"The leader of the gang mentioned in the question is Little Caesar. 

Little Caesar was a fictional character and the protagonist in a series of films and books, often portrayed as a gangster or mob boss.",2,36
"Who was the leader of the gang whose members included Benny the Ball ,Brain and Choo Choo?",Brain (Top Cat character,allam,qwen,True,qwen,George Kelly,allam,"The leader of the gang mentioned in the question is Little Caesar. 

Little Caesar was a fictional character and the protagonist in a series of films and books, often portrayed as a gangster or mob boss.",2,36
"Who was the leader of the gang whose members included Benny the Ball ,Brain and Choo Choo?",Brain (Top Cat character,llama,qwen,True,qwen,George Kelly,llama,Top Cat.,2,2
‘Hampsteads’ is Cockney rhyming slang for what?,Tooth root,allam,llama,True,llama,Stairs.,allam,Heads,1,1
‘Hampsteads’ is Cockney rhyming slang for what?,Tooth root,allam,qwen,False,allam,Heads,qwen,Hampstead Heath,1,2
‘Hampsteads’ is Cockney rhyming slang for what?,Tooth root,llama,qwen,True,qwen,Hampstead Heath,llama,Stairs.,2,1
What was the scene of the final defeat of the Jacobites under Charles Edward by forces under the command of the Duke of Cumberland on 16 April 1746?,Culloden,allam,llama,False,allam,Culloden Moor,llama,Culloden Moor.,2,2
What was the scene of the final defeat of the Jacobites under Charles Edward by forces under the command of the Duke of Cumberland on 16 April 1746?,Culloden,allam,qwen,True,qwen,Battle of Culloden,allam,Culloden Moor,3,2
What was the scene of the final defeat of the Jacobites under Charles Edward by forces under the command of the Duke of Cumberland on 16 April 1746?,Culloden,llama,qwen,False,llama,Culloden Moor.,qwen,Battle of Culloden,2,3
"Ushuaia, which is now generally accepted as the southernmost city in the world, is in which country?",Arxintina,allam,llama,False,allam,Argentina,llama,Argentina.,1,1
"Ushuaia, which is now generally accepted as the southernmost city in the world, is in which country?",Arxintina,allam,qwen,False,allam,Argentina,qwen,Argentina,1,1
"Ushuaia, which is now generally accepted as the southernmost city in the world, is in which country?",Arxintina,llama,qwen,True,qwen,Argentina,llama,Argentina.,1,1
What English expression for a long complex procedure derived from a old legal document called a ragman roll?,Rigmarole,allam,llama,False,allam,Red tape,llama,Ragtag.,2,1
What English expression for a long complex procedure derived from a old legal document called a ragman roll?,Rigmarole,allam,qwen,True,qwen,Red tape,allam,Red tape,2,2
What English expression for a long complex procedure derived from a old legal document called a ragman roll?,Rigmarole,llama,qwen,True,qwen,Red tape,llama,Ragtag.,2,1
Beloved in 1999 was whose first movie since The Color Purple in 1985?,Oprah,allam,llama,True,llama,Beloved was Oprah Winfrey's first movie since The Color Purple in 1985.,allam,Oprah Winfrey,12,2
Beloved in 1999 was whose first movie since The Color Purple in 1985?,Oprah,allam,qwen,False,allam,Oprah Winfrey,qwen,Steven Spielberg,2,2
Beloved in 1999 was whose first movie since The Color Purple in 1985?,Oprah,llama,qwen,True,qwen,Steven Spielberg,llama,Beloved was Oprah Winfrey's first movie since The Color Purple in 1985.,2,12
What was the name of Butch Cassidy's gang,Hole in the Wall gang,allam,llama,False,allam,The Sundance Kid and the Wild Bunch,llama,The Wild Bunch.,7,3
What was the name of Butch Cassidy's gang,Hole in the Wall gang,allam,qwen,False,allam,The Sundance Kid and the Wild Bunch,qwen,The Wild Bunch,7,3
What was the name of Butch Cassidy's gang,Hole in the Wall gang,llama,qwen,False,llama,The Wild Bunch.,qwen,The Wild Bunch,3,3
What type of camel has two humps?,Bactrian,allam,llama,True,llama,Bactrian camel.,allam,Bactrian camel,2,2
What type of camel has two humps?,Bactrian,allam,qwen,True,qwen,Bactrian camel,allam,Bactrian camel,2,2
What type of camel has two humps?,Bactrian,llama,qwen,True,qwen,Bactrian camel,llama,Bactrian camel.,2,2
What word is used to mean the dead skin at the base of a fingernail?,Cuticles,allam,llama,False,allam,Nail bed.,llama,Eponychium.,2,1
What word is used to mean the dead skin at the base of a fingernail?,Cuticles,allam,qwen,True,qwen,Cuticle,allam,Nail bed.,1,2
What word is used to mean the dead skin at the base of a fingernail?,Cuticles,llama,qwen,True,qwen,Cuticle,llama,Eponychium.,1,1
What does an octopus spray when threatened?,Ink,allam,llama,False,allam,Ink (or ink sac),llama,Ink.,4,1
What does an octopus spray when threatened?,Ink,allam,qwen,False,allam,Ink (or ink sac),qwen,Ink,4,1
What does an octopus spray when threatened?,Ink,llama,qwen,True,qwen,Ink,llama,Ink.,1,1
"The English towns of Abingdon, Wallingford and Marlow lie on which river?",Theems,allam,llama,True,llama,The River Thames.,allam,Thames,3,1
"The English towns of Abingdon, Wallingford and Marlow lie on which river?",Theems,allam,qwen,True,qwen,River Thames,allam,Thames,2,1
"The English towns of Abingdon, Wallingford and Marlow lie on which river?",Theems,llama,qwen,False,llama,The River Thames.,qwen,River Thames,3,2
What song was a hit for Tom Jones and Cerys Matthews in 1999?,It's Cold Outside,allam,llama,False,allam,"""It's Not Unusual""",llama,"""Baby, It's Cold Outside"".",3,4
What song was a hit for Tom Jones and Cerys Matthews in 1999?,It's Cold Outside,allam,qwen,True,qwen,Sex Bomb,allam,"""It's Not Unusual""",2,3
What song was a hit for Tom Jones and Cerys Matthews in 1999?,It's Cold Outside,llama,qwen,False,llama,"""Baby, It's Cold Outside"".",qwen,Sex Bomb,4,2
What lake can be found on the border of Vermont and New York?,Champlain Lake,allam,llama,True,llama,Lake Champlain.,allam,Lake Champlain,2,2
What lake can be found on the border of Vermont and New York?,Champlain Lake,allam,qwen,False,allam,Lake Champlain,qwen,Lake Champlain,2,2
What lake can be found on the border of Vermont and New York?,Champlain Lake,llama,qwen,False,llama,Lake Champlain.,qwen,Lake Champlain,2,2
"What spirit, in Ireland and Scotland, makes noises near a house when someone is about to die?",Bean sidhe,allam,llama,True,llama,The Banshee.,allam,Banshee,2,1
"What spirit, in Ireland and Scotland, makes noises near a house when someone is about to die?",Bean sidhe,allam,qwen,False,allam,Banshee,qwen,The Banshee,1,2
"What spirit, in Ireland and Scotland, makes noises near a house when someone is about to die?",Bean sidhe,llama,qwen,False,llama,The Banshee.,qwen,The Banshee,2,2
"Frenchman Maurice André, who attributed his stamina and breath control to his teenage years as a coal miner, was a famous virtuoso player of what instrument?",Trumpet.,allam,llama,True,llama,The French horn.,allam,Trombone,3,1
"Frenchman Maurice André, who attributed his stamina and breath control to his teenage years as a coal miner, was a famous virtuoso player of what instrument?",Trumpet.,allam,qwen,False,allam,Trombone,qwen,Trumpet,1,1
"Frenchman Maurice André, who attributed his stamina and breath control to his teenage years as a coal miner, was a famous virtuoso player of what instrument?",Trumpet.,llama,qwen,True,qwen,Trumpet,llama,The French horn.,1,3
Complete this boxing phrase 'The Thriller in'?,"Manila, Phillipine Islands",allam,llama,True,llama,Manila.,allam,Manila,1,1
Complete this boxing phrase 'The Thriller in'?,"Manila, Phillipine Islands",allam,qwen,False,allam,Manila,qwen,Mill Valley,1,2
Complete this boxing phrase 'The Thriller in'?,"Manila, Phillipine Islands",llama,qwen,True,qwen,Mill Valley,llama,Manila.,2,1
What drinking vessel supposedly confers eternal life on those who drink from it?,Sangrael,allam,llama,False,allam,The Elixir of Life or the Philosopher's Stone,llama,The Holy Grail.,8,3
What drinking vessel supposedly confers eternal life on those who drink from it?,Sangrael,allam,qwen,True,qwen,The Holy Grail,allam,The Elixir of Life or the Philosopher's Stone,3,8
What drinking vessel supposedly confers eternal life on those who drink from it?,Sangrael,llama,qwen,True,qwen,The Holy Grail,llama,The Holy Grail.,3,3
"April 5, 1614 saw early American settler and tobacco exporter John Rolfe marry who?",Pocahontas (Pocahontas),allam,llama,True,llama,Pocahontas.,allam,Pocahontas,1,1
"April 5, 1614 saw early American settler and tobacco exporter John Rolfe marry who?",Pocahontas (Pocahontas),allam,qwen,False,allam,Pocahontas,qwen,Pocahontas,1,1
"April 5, 1614 saw early American settler and tobacco exporter John Rolfe marry who?",Pocahontas (Pocahontas),llama,qwen,True,qwen,Pocahontas,llama,Pocahontas.,1,1
What is the fin called underneath the rear of a surfboard?,Skeg (surfing),allam,llama,True,llama,"The fin is called a ""stabilizer"" or more specifically, a ""center fin"" or ""single fin"".",allam,"The fin called underneath the rear of a surfboard is typically referred to as the ""tail fin"" or ""rudder fin"".",15,20
What is the fin called underneath the rear of a surfboard?,Skeg (surfing),allam,qwen,False,allam,"The fin called underneath the rear of a surfboard is typically referred to as the ""tail fin"" or ""rudder fin"".",qwen,Swing fin,20,2
What is the fin called underneath the rear of a surfboard?,Skeg (surfing),llama,qwen,True,qwen,Swing fin,llama,"The fin is called a ""stabilizer"" or more specifically, a ""center fin"" or ""single fin"".",2,15
"""After stints backing Little Richard and the Isley Brothers, who was discovered leading """"Jimmy James and the Blue Flames"""" at the Caf Wha? in New York and taken to London on 26 September 1966 to make hit records?""",Hendrix,allam,llama,True,llama,Eric Clapton.,allam,David Bowie,2,2
"""After stints backing Little Richard and the Isley Brothers, who was discovered leading """"Jimmy James and the Blue Flames"""" at the Caf Wha? in New York and taken to London on 26 September 1966 to make hit records?""",Hendrix,allam,qwen,True,qwen,Eric Clapton,allam,David Bowie,2,2
"""After stints backing Little Richard and the Isley Brothers, who was discovered leading """"Jimmy James and the Blue Flames"""" at the Caf Wha? in New York and taken to London on 26 September 1966 to make hit records?""",Hendrix,llama,qwen,True,qwen,Eric Clapton,llama,Eric Clapton.,2,2
Which country is known to its people as Suomen Tasavalta?,FinlanD,allam,llama,True,llama,Finland.,allam,Finland,1,1
Which country is known to its people as Suomen Tasavalta?,FinlanD,allam,qwen,True,qwen,Finland,allam,Finland,1,1
Which country is known to its people as Suomen Tasavalta?,FinlanD,llama,qwen,True,qwen,Finland,llama,Finland.,1,1
In which year did St George die?,three hundred and three,allam,llama,False,allam,304 AD,llama,303 AD.,2,2
In which year did St George die?,three hundred and three,allam,qwen,True,qwen,303 AD,allam,304 AD,2,2
In which year did St George die?,three hundred and three,llama,qwen,False,llama,303 AD.,qwen,303 AD,2,2
Who allegedly solved the riddle of the Gordian knot simply by slicing it with his sword?,Μέγας Ἀλέξανδρος,allam,llama,True,llama,King Alexander the Great.,allam,Alexander the Great,4,3
Who allegedly solved the riddle of the Gordian knot simply by slicing it with his sword?,Μέγας Ἀλέξανδρος,allam,qwen,True,qwen,Alexander the Great,allam,Alexander the Great,3,3
Who allegedly solved the riddle of the Gordian knot simply by slicing it with his sword?,Μέγας Ἀλέξανδρος,llama,qwen,True,qwen,Alexander the Great,llama,King Alexander the Great.,3,4
Nick Begs was lead singer with which 80’s pop band?,Kaja Googoo,allam,llama,True,llama,New Kids on the Block.,allam,Bananarama,5,1
Nick Begs was lead singer with which 80’s pop band?,Kaja Googoo,allam,qwen,False,allam,Bananarama,qwen,The Communards,1,2
Nick Begs was lead singer with which 80’s pop band?,Kaja Googoo,llama,qwen,True,qwen,The Communards,llama,New Kids on the Block.,2,5
As at 2012 Goulburn Correctional Centre is considered the highest security prison of which country?,Australia (Commonwealth realm),allam,llama,True,llama,Australia.,allam,Australia,1,1
As at 2012 Goulburn Correctional Centre is considered the highest security prison of which country?,Australia (Commonwealth realm),allam,qwen,True,qwen,Australia,allam,Australia,1,1
As at 2012 Goulburn Correctional Centre is considered the highest security prison of which country?,Australia (Commonwealth realm),llama,qwen,False,llama,Australia.,qwen,Australia,1,1
What is the name of Tokyo's seaport ?,横浜,allam,llama,True,llama,Tokyo Port.,allam,Tokyo Port,2,2
What is the name of Tokyo's seaport ?,横浜,allam,qwen,False,allam,Tokyo Port,qwen,Tokyo Port,2,2
What is the name of Tokyo's seaport ?,横浜,llama,qwen,True,qwen,Tokyo Port,llama,Tokyo Port.,2,2
"Located in North Carolina, which is both the highest mountain in the Appalachians and the highest mountain east of the Mississippi?",Mount Mitchell,allam,llama,True,llama,Mount Mitchell.,allam,Mount Mitchell,2,2
"Located in North Carolina, which is both the highest mountain in the Appalachians and the highest mountain east of the Mississippi?",Mount Mitchell,allam,qwen,True,qwen,Mount Mitchell,allam,Mount Mitchell,2,2
"Located in North Carolina, which is both the highest mountain in the Appalachians and the highest mountain east of the Mississippi?",Mount Mitchell,llama,qwen,True,qwen,Mount Mitchell,llama,Mount Mitchell.,2,2
"What speaker component is used to produce the highest audio frequencies, usually between 2,000HZ and 20,000HZ?",Piezo tweeter,allam,llama,True,llama,Tweeter.,allam,Tweeter,1,1
"What speaker component is used to produce the highest audio frequencies, usually between 2,000HZ and 20,000HZ?",Piezo tweeter,allam,qwen,True,qwen,Tweeter,allam,Tweeter,1,1
"What speaker component is used to produce the highest audio frequencies, usually between 2,000HZ and 20,000HZ?",Piezo tweeter,llama,qwen,False,llama,Tweeter.,qwen,Tweeter,1,1
Who on TV is the Naked Chef,Jools oliver,allam,llama,False,allam,Jamie Oliver,llama,Jamie Oliver.,2,2
Who on TV is the Naked Chef,Jools oliver,allam,qwen,False,allam,Jamie Oliver,qwen,Jamie Oliver,2,2
Who on TV is the Naked Chef,Jools oliver,llama,qwen,False,llama,Jamie Oliver.,qwen,Jamie Oliver,2,2
What name was given to the floating harbours used on D-Day?,Mulberry tea,allam,llama,False,allam,Mulberry Harbours,llama,Mulberry Harbours.,2,2
What name was given to the floating harbours used on D-Day?,Mulberry tea,allam,qwen,True,qwen,Mulberry harbours,allam,Mulberry Harbours,2,2
What name was given to the floating harbours used on D-Day?,Mulberry tea,llama,qwen,True,qwen,Mulberry harbours,llama,Mulberry Harbours.,2,2
Las Vegas is situated in which US State?,Silver State,allam,llama,True,llama,Nevada.,allam,Nevada,1,1
Las Vegas is situated in which US State?,Silver State,allam,qwen,True,qwen,Nevada,allam,Nevada,1,1
Las Vegas is situated in which US State?,Silver State,llama,qwen,True,qwen,Nevada,llama,Nevada.,1,1
"What is the name of the system of stellar designation in which a specific star is identified by a Greek letter (then Latin letters in lower-case then upper-case), followed by the genitive form of its parent constellation's Latin name (e.g. Tauri)?",Bayer's Name,allam,llama,True,llama,Bayer designation.,allam,Alpha Centauri,2,2
"What is the name of the system of stellar designation in which a specific star is identified by a Greek letter (then Latin letters in lower-case then upper-case), followed by the genitive form of its parent constellation's Latin name (e.g. Tauri)?",Bayer's Name,allam,qwen,False,allam,Alpha Centauri,qwen,Bayer designation,2,2
"What is the name of the system of stellar designation in which a specific star is identified by a Greek letter (then Latin letters in lower-case then upper-case), followed by the genitive form of its parent constellation's Latin name (e.g. Tauri)?",Bayer's Name,llama,qwen,True,qwen,Bayer designation,llama,Bayer designation.,2,2
David Tyler is the current chairman of which leading supermarket chain?,Sainsburys.com,allam,llama,False,allam,Tesco,llama,I'm not aware of that information.,1,6
David Tyler is the current chairman of which leading supermarket chain?,Sainsburys.com,allam,qwen,True,qwen,Sainsbury's,allam,Tesco,1,1
David Tyler is the current chairman of which leading supermarket chain?,Sainsburys.com,llama,qwen,False,llama,I'm not aware of that information.,qwen,Sainsbury's,6,1
"Although he never won an Oscar for best director, one of Hitchcock's films did win an Oscar for best picture. What was the film?",Rifkah,allam,llama,True,llama,Rebecca.,allam,Psycho,1,1
"Although he never won an Oscar for best director, one of Hitchcock's films did win an Oscar for best picture. What was the film?",Rifkah,allam,qwen,True,qwen,Rebecca,allam,Psycho,1,1
"Although he never won an Oscar for best director, one of Hitchcock's films did win an Oscar for best picture. What was the film?",Rifkah,llama,qwen,False,llama,Rebecca.,qwen,Rebecca,1,1
Who had a 60s No 1 with Downtown?,Petula Clark,allam,llama,True,llama,Petula Clark.,allam,Petula Clark,2,2
Who had a 60s No 1 with Downtown?,Petula Clark,allam,qwen,True,qwen,Petula Clark,allam,Petula Clark,2,2
Who had a 60s No 1 with Downtown?,Petula Clark,llama,qwen,True,qwen,Petula Clark,llama,Petula Clark.,2,2
Jimi Hendrix presented the broken parts of the guitar that he destroyed on-stage at the 1968 Miami Pop Festival to whom? Not sure if the recipient named it Moon Unit.,Frank zappa,allam,llama,False,allam,Moon Unit Zappa.,llama,Noel Redding.,3,2
Jimi Hendrix presented the broken parts of the guitar that he destroyed on-stage at the 1968 Miami Pop Festival to whom? Not sure if the recipient named it Moon Unit.,Frank zappa,allam,qwen,False,allam,Moon Unit Zappa.,qwen,Moon Unit Zappa,3,3
Jimi Hendrix presented the broken parts of the guitar that he destroyed on-stage at the 1968 Miami Pop Festival to whom? Not sure if the recipient named it Moon Unit.,Frank zappa,llama,qwen,False,llama,Noel Redding.,qwen,Moon Unit Zappa,2,3
"""From which Beatles song do the following lyrics come, """"Nothing's going to change my world""""?""",Across The Universe,allam,llama,True,llama,"""Change""",allam,"""Here Comes the Sun""",1,4
"""From which Beatles song do the following lyrics come, """"Nothing's going to change my world""""?""",Across The Universe,allam,qwen,True,qwen,Nothing's going to change my world,allam,"""Here Comes the Sun""",6,4
"""From which Beatles song do the following lyrics come, """"Nothing's going to change my world""""?""",Across The Universe,llama,qwen,False,llama,"""Change""",qwen,Nothing's going to change my world,1,6
Which “Thom” is Radiohead’s lead singer and principal songwriter?,Youwouldn’tlikemewhenI’mangry,allam,llama,False,allam,Thom Yorke,llama,Thom Yorke.,2,2
Which “Thom” is Radiohead’s lead singer and principal songwriter?,Youwouldn’tlikemewhenI’mangry,allam,qwen,True,qwen,Thom Yorke,allam,Thom Yorke,2,2
Which “Thom” is Radiohead’s lead singer and principal songwriter?,Youwouldn’tlikemewhenI’mangry,llama,qwen,True,qwen,Thom Yorke,llama,Thom Yorke.,2,2
Which former British PM was christened “Grocer” by Private Eye?,Sir Edward Heath,allam,llama,False,allam,Harold Wilson,llama,John Major.,2,2
Which former British PM was christened “Grocer” by Private Eye?,Sir Edward Heath,allam,qwen,True,qwen,John Major,allam,Harold Wilson,2,2
Which former British PM was christened “Grocer” by Private Eye?,Sir Edward Heath,llama,qwen,False,llama,John Major.,qwen,John Major,2,2
In which sport would you see someone slam-dunking the ball?,Basketball,allam,llama,False,allam,Basketball,llama,Basketball.,1,1
In which sport would you see someone slam-dunking the ball?,Basketball,allam,qwen,True,qwen,Basketball,allam,Basketball,1,1
In which sport would you see someone slam-dunking the ball?,Basketball,llama,qwen,True,qwen,Basketball,llama,Basketball.,1,1
"In Greek mythology, who was the mother of Perseus visited by Zeus disguised as a shower of gold?",Danaë,allam,llama,False,allam,Danaë,llama,Danaë.,1,1
"In Greek mythology, who was the mother of Perseus visited by Zeus disguised as a shower of gold?",Danaë,allam,qwen,False,allam,Danaë,qwen,Danaë,1,1
"In Greek mythology, who was the mother of Perseus visited by Zeus disguised as a shower of gold?",Danaë,llama,qwen,False,llama,Danaë.,qwen,Danaë,1,1
Captain Corelli's mandolin is a book a film set in which country,Yunanistan,allam,llama,False,allam,Greece,llama,Greece.,1,1
Captain Corelli's mandolin is a book a film set in which country,Yunanistan,allam,qwen,False,allam,Greece,qwen,Greece,1,1
Captain Corelli's mandolin is a book a film set in which country,Yunanistan,llama,qwen,True,qwen,Greece,llama,Greece.,1,1
"""The American film made at the very start of the sound film era, """"All Quiet on the Western Front"""" (1930), on the grimness of warfare in WWI was banned in Germany (after a brief run in 1930) not unexpectedly, but also where?""",Australia (Commonwealth realm),allam,llama,False,allam,Italy,llama,The United Kingdom.,1,3
"""The American film made at the very start of the sound film era, """"All Quiet on the Western Front"""" (1930), on the grimness of warfare in WWI was banned in Germany (after a brief run in 1930) not unexpectedly, but also where?""",Australia (Commonwealth realm),allam,qwen,True,qwen,Japan,allam,Italy,1,1
"""The American film made at the very start of the sound film era, """"All Quiet on the Western Front"""" (1930), on the grimness of warfare in WWI was banned in Germany (after a brief run in 1930) not unexpectedly, but also where?""",Australia (Commonwealth realm),llama,qwen,True,qwen,Japan,llama,The United Kingdom.,1,3
Which is the largest cat in the world?,Manchurian Tiger,allam,llama,True,llama,Siberian tiger.,allam,Siberian tiger,2,2
Which is the largest cat in the world?,Manchurian Tiger,allam,qwen,False,allam,Siberian tiger,qwen,The tiger,2,2
Which is the largest cat in the world?,Manchurian Tiger,llama,qwen,False,llama,Siberian tiger.,qwen,The tiger,2,2
"Which French winner of the Nobel Prize for Literature, famously dedicated it to his primary school teacher?",The Blood of the Hungarians,allam,llama,False,allam,Albert Camus,llama,François Mauriac.,2,2
"Which French winner of the Nobel Prize for Literature, famously dedicated it to his primary school teacher?",The Blood of the Hungarians,allam,qwen,True,qwen,Albert Camus,allam,Albert Camus,2,2
"Which French winner of the Nobel Prize for Literature, famously dedicated it to his primary school teacher?",The Blood of the Hungarians,llama,qwen,False,llama,François Mauriac.,qwen,Albert Camus,2,2
"""What is the longest running emergency medical drama series in the world, and the second-longest-running medical drama in the world behind America's """"General Hospital""""?""",Casualty (disambiguation),allam,llama,True,llama,"""Coronation Street's"" spin-off ""Emergency - 112"".",allam,"""Hotel de Paree"" (Docteur Spécialistes in its original French version) is the longest-running emergency medical drama series in the world, and the second-longest-running medical drama in the world",6,28
"""What is the longest running emergency medical drama series in the world, and the second-longest-running medical drama in the world behind America's """"General Hospital""""?""",Casualty (disambiguation),allam,qwen,True,qwen,ER,allam,"""Hotel de Paree"" (Docteur Spécialistes in its original French version) is the longest-running emergency medical drama series in the world, and the second-longest-running medical drama in the world",1,28
"""What is the longest running emergency medical drama series in the world, and the second-longest-running medical drama in the world behind America's """"General Hospital""""?""",Casualty (disambiguation),llama,qwen,True,qwen,ER,llama,"""Coronation Street's"" spin-off ""Emergency - 112"".",1,6
Clement (Clym) Yeobright is a leading character in which novel?,Return of the native,allam,llama,True,llama,"""Return of the Native"".",allam,Hard Times,4,2
Clement (Clym) Yeobright is a leading character in which novel?,Return of the native,allam,qwen,True,qwen,The Return of the Native,allam,Hard Times,5,2
Clement (Clym) Yeobright is a leading character in which novel?,Return of the native,llama,qwen,True,qwen,The Return of the Native,llama,"""Return of the Native"".",5,4
A member of which profession would reside in a manse,Clergyman,allam,llama,False,allam,Minister.,llama,A minister.,1,2
A member of which profession would reside in a manse,Clergyman,allam,qwen,True,qwen,Clergy,allam,Minister.,1,1
A member of which profession would reside in a manse,Clergyman,llama,qwen,False,llama,A minister.,qwen,Clergy,2,1
With what country did the United States re-establish diplomatic relations in 2015?,Republic of Cuba,allam,llama,True,llama,Cuba.,allam,Cuba,1,1
With what country did the United States re-establish diplomatic relations in 2015?,Republic of Cuba,allam,qwen,True,qwen,Cuba,allam,Cuba,1,1
With what country did the United States re-establish diplomatic relations in 2015?,Republic of Cuba,llama,qwen,True,qwen,Cuba,llama,Cuba.,1,1
'Spring' and 'Rhenish' are the popular names given to symphonies by which composer?,"Schumann, Robert Alexander",allam,llama,True,llama,Beethoven,allam,Joseph Haydn,1,2
'Spring' and 'Rhenish' are the popular names given to symphonies by which composer?,"Schumann, Robert Alexander",allam,qwen,True,qwen,Ludwig van Beethoven,allam,Joseph Haydn,3,2
'Spring' and 'Rhenish' are the popular names given to symphonies by which composer?,"Schumann, Robert Alexander",llama,qwen,False,llama,Beethoven,qwen,Ludwig van Beethoven,1,3
"In which arcade game, would you find ghosts called Inky, Pinky, Blinky and Clyde?",Pakman,allam,llama,False,allam,Pac-Man,llama,Pac-Man.,1,1
"In which arcade game, would you find ghosts called Inky, Pinky, Blinky and Clyde?",Pakman,allam,qwen,True,qwen,Pac-Man,allam,Pac-Man,1,1
"In which arcade game, would you find ghosts called Inky, Pinky, Blinky and Clyde?",Pakman,llama,qwen,True,qwen,Pac-Man,llama,Pac-Man.,1,1
The most southerly part of mainland Australia is in which state?,CIVI-TV,allam,llama,False,allam,South Australia,llama,South Australia.,2,2
The most southerly part of mainland Australia is in which state?,CIVI-TV,allam,qwen,False,allam,South Australia,qwen,Victoria,2,1
The most southerly part of mainland Australia is in which state?,CIVI-TV,llama,qwen,True,qwen,Victoria,llama,South Australia.,1,2
"What seven letter word, beginning with the letters 'Ra' is a palindrome?",Racing cars,allam,llama,False,allam,radar,llama,Radar.,1,1
"What seven letter word, beginning with the letters 'Ra' is a palindrome?",Racing cars,allam,qwen,False,allam,radar,qwen,Radar,1,1
"What seven letter word, beginning with the letters 'Ra' is a palindrome?",Racing cars,llama,qwen,False,llama,Radar.,qwen,Radar,1,1
Who memorably failed to win the Marathon in the 1954 Commonwealth Games?,Jim Peters,allam,llama,False,allam,Sir Roger Bannister,llama,Roger Bannister.,3,2
Who memorably failed to win the Marathon in the 1954 Commonwealth Games?,Jim Peters,allam,qwen,True,qwen,John Disley,allam,Sir Roger Bannister,2,3
Who memorably failed to win the Marathon in the 1954 Commonwealth Games?,Jim Peters,llama,qwen,True,qwen,John Disley,llama,Roger Bannister.,2,2
Breugel; Van Dyck and Rubens were all citizens of which country?,Belguim,allam,llama,False,allam,Belgium,llama,Belgium.,1,1
Breugel; Van Dyck and Rubens were all citizens of which country?,Belguim,allam,qwen,True,qwen,Belgium,allam,Belgium,1,1
Breugel; Van Dyck and Rubens were all citizens of which country?,Belguim,llama,qwen,True,qwen,Belgium,llama,Belgium.,1,1
Which 1968 album released by George Harrison is notable for being the first official solo album by one of The Beatles?,Wonderwall Music,allam,llama,False,allam,"""All Things Must Pass""",llama,"The Beatles' Apple Records released ""Wonderwall Music"" in 1968, but the first solo album is ""All Things Must Pass"".",4,19
Which 1968 album released by George Harrison is notable for being the first official solo album by one of The Beatles?,Wonderwall Music,allam,qwen,False,allam,"""All Things Must Pass""",qwen,Wonderwall Music,4,2
Which 1968 album released by George Harrison is notable for being the first official solo album by one of The Beatles?,Wonderwall Music,llama,qwen,True,qwen,Wonderwall Music,llama,"The Beatles' Apple Records released ""Wonderwall Music"" in 1968, but the first solo album is ""All Things Must Pass"".",2,19
What was Warren Beatty's first movie?,Splendor in the Grass,allam,llama,True,llama,Splendor in the Grass.,allam,"""Splendor in the Grass"" (1961)",4,5
What was Warren Beatty's first movie?,Splendor in the Grass,allam,qwen,False,allam,"""Splendor in the Grass"" (1961)",qwen,Splendor in the Grass,5,4
What was Warren Beatty's first movie?,Splendor in the Grass,llama,qwen,False,llama,Splendor in the Grass.,qwen,Splendor in the Grass,4,4
"What company encourages you to ""Think Outside the Bun""?",Taco Bell Corporation,allam,llama,True,llama,Arby's.,allam,Burger King,1,2
"What company encourages you to ""Think Outside the Bun""?",Taco Bell Corporation,allam,qwen,False,allam,Burger King,qwen,Whataburger,2,1
"What company encourages you to ""Think Outside the Bun""?",Taco Bell Corporation,llama,qwen,True,qwen,Whataburger,llama,Arby's.,1,1
How many avenues radiate from the Arc de Triomphe?,twelve,allam,llama,True,llama,12 avenues.,allam,Eight.,2,1
How many avenues radiate from the Arc de Triomphe?,twelve,allam,qwen,False,allam,Eight.,qwen,12,1,1
How many avenues radiate from the Arc de Triomphe?,twelve,llama,qwen,False,llama,12 avenues.,qwen,12,2,1
"The longest running television series ever, November 6, 1947 saw the debut of what now weekly news program, now hosted by David Gregory, following the unfortunante sudden death of host Tim Russert?",Meet the Press with David Gregory,allam,llama,False,allam,Meet the Press,llama,Meet the Press.,3,3
"The longest running television series ever, November 6, 1947 saw the debut of what now weekly news program, now hosted by David Gregory, following the unfortunante sudden death of host Tim Russert?",Meet the Press with David Gregory,allam,qwen,True,qwen,Meet the Press,allam,Meet the Press,3,3
"The longest running television series ever, November 6, 1947 saw the debut of what now weekly news program, now hosted by David Gregory, following the unfortunante sudden death of host Tim Russert?",Meet the Press with David Gregory,llama,qwen,True,qwen,Meet the Press,llama,Meet the Press.,3,3
"Indians used wampum for money, what was wampum",Beads or shells,allam,llama,False,allam,"Wampum was a form of traditional currency used by Native American tribes, particularly the Algonquian-speaking peoples, consisting of bead strings.",llama,Shell beads.,20,2
